order_id,customer_age,annual_income,num_purchases,purchase_amount,customer_rating,product_category,region,signup_days_ago
100470,42.0,58384.44,3,145.12,5.0,home & garden,U.S.,836
100135,,70368.85,7,445.52,1.0,APPAREL,USA,266
100136,42.0,69654.79,5,392.93,2.0, Books,U.K.,598
100101,54.0,78072.01,7,334.59,4.0,Apparel,uk,764
100072,27.0,,6,228.31,5.0,HOME & GARDEN,us,185
100289,37.0,67515.71,5,250.86,2.0,ELECTRONICS,US,648
100010,49.0,73048.2,14,930.95,5.0,Electronics,CA,879
100516,46.0,43246.72,8,241.89,5.0,HOME & GARDEN,U.K.,688
100576,54.0,64183.8,2,228.58,1.0,home & garden,U.K.,449
100319,24.0,87877.62,4,229.19,,Home and Garden,U.S.,293
100031,,50042.17,5,195.73,5.0,Home and Garden,Canada,348
100553,62.0,86542.39,3,255.11,1.0,Apparel,United Kingdom,820
100396,47.0,151119.64,9,588.98,2.0,Apparel ,UK,392
100464,25.0,57993.77,7,245.87,5.0,apparel,U.K.,581
100622,41.0,55801.72,6,238.52,3.0, Books,United States,94
100118,57.0,67304.26,9,250.7,3.0,Electronics,ca,172
100055,30.0,40309.51,11,464.9,4.0,electronics,us,223
100257,33.0,85365.49,5,212.35,5.0,Apparel ,ca,387
100592,60.0,38034.69,7,396.55,2.0,electronics,CANADA,845
100346,31.0,74462.21,4,270.7,1.0,home & garden,uk,142
100077,40.0,,3,232.5,5.0,BOOKS,U.K.,964
100568,45.0,73558.15,7,438.89,2.0,ELECTRONICS,USA,716
100078,,64613.57,5,415.5,2.0, Books,CANADA,253
100637,25.0,63807.41,4,243.19,1.0,books,UK,750
100574,40.0,40575.22,9,461.09,4.0, Electronics,US,202
100336,30.0,96167.5,7,355.58,3.0,Home and Garden,CANADA,976
100352,31.0,67690.78,6,388.28,3.0,Home and Garden,US,933
100181,41.0,119128.71,4,287.11,1.0,ELECTRONICS,United States,850
100164,48.0,103489.14,4,321.2,,electronics ,CA,901
100120,26.0,67400.08,5,320.99,5.0,electronics,U.K.,491
100002,47.0,54645.02,4,161.03,1.0,Apparel,United States,384
100165,27.0,38085.8,5,336.84,3.0,Home & Garden,uk,177
100478,38.0,96405.9,5,409.29,2.0,electronics,United Kingdom,34
100081,30.0,32840.61,7,330.27,4.0,TOYS,us,561
100625,32.0,29006.08,4,142.08,3.0,books,US,30
100300,59.0,,1,208.18,4.0,APPAREL,Canada,534
100060,18.0,73974.91,6,250.71,1.0,Electronics,US,976
100133,35.0,45447.52,7,431.73,2.0,Home & Garden,United Kingdom,707
100030,,108251.6,5,350.43,3.0,apparel,USA,390
100069,36.0,66059.7,6,424.01,4.0, Electronics,uk,390
100292,56.0,20989.71,5,264.54,5.0,home & garden,U.S.,168
100468,51.0,56277.18,10,501.72,3.0,electronics ,US,786
100044,39.0,54967.75,6,224.77,3.0,books,CANADA,138
100070,,77088.77,4,368.4,,BOOKS,United Kingdom,547
100338,52.0,70185.49,5,446.42,1.0,electronics,USA,32
100182,33.0,,9,351.71,4.0,Apparel ,Canada,369
100514,47.0,32304.2,4,254.02,1.0,electronics,United States,818
100072,27.0,,6,228.31,5.0,HOME & GARDEN,us,185
100452,61.0,84967.78,7,256.73,0.0,APPAREL,USA,66
100176,57.0,55090.46,8,323.19,2.0,Apparel,United States,813
100535,46.0,55790.5,4,257.24,3.0,electronics ,USA,598
100065,48.0,28957.31,3,198.91,4.0,BOOKS,UK,256
100615,23.0,50081.06,6,255.62,2.0,books,uk,355
100049,39.0,43488.02,6,163.32,4.0,home & garden,US,329
100148,51.0,91769.35,9,654.57,4.0,electronics ,uk,245
100367,28.0,27514.22,8,486.85,3.0,HOME & GARDEN,CANADA,494
100039,46.0,28315.23,5,161.65,3.0,Apparel,United States,573
100511,34.0,51049.59,4,259.31,4.0,Apparel ,ca,566
100306,34.0,,3,193.83,2.0,electronics ,U.S.,827
100006,40.0,53243.18,7,227.78,4.0,ELECTRONICS,U.K.,640
100620,33.0,108522.6,4,306.66,5.0,Toys,us,649
100615,23.0,50081.06,6,255.62,2.0,books,uk,355
100210,49.0,53388.0,3,145.87,1.0,books,Canada,440
100648,40.0,26084.76,10,637.68,2.0,APPAREL,U.K.,676
100131,21.0,38287.67,7,237.15,5.0,TOYS,U.K.,781
100331,46.0,54899.8,7,318.5,1.0,APPAREL,Canada,975
100318,50.0,,10,424.22,5.0,electronics ,US,717
100626,33.0,79433.69,7,368.55,2.0,Apparel,U.K.,420
100086,32.0,30546.81,5,155.07,2.0,Apparel,CANADA,853
100462,19.0,39331.08,7,230.98,5.0,Apparel ,CANADA,90
100281,18.0,81614.15,6,316.88,5.0, Books,US,413
100558,23.0,34669.44,3,185.35,2.0,home & garden,U.K.,557
100621,38.0,68360.04,6,249.0,2.0,Toys,U.S.,36
100638,45.0,82727.55,9,397.28,2.0,Home and Garden,CANADA,316
100469,26.0,113933.1,10,737.12,2.0,TOYS,USA,276
100041,45.0,44319.11,7,232.59,,home & garden,US,19
100192,33.0,84775.57,4,243.6,5.0,electronics ,United States,264
100108,48.0,33743.91,3,147.94,4.0,books,us,774
100601,31.0,,6,410.77,5.0,BOOKS,U.S.,601
100056,35.0,59165.11,9,411.16,4.0,Electronics,CANADA,591
100311,43.0,84862.85,4,248.4,2.0,Apparel,United Kingdom,761
100493,43.0,64765.5,3,207.1,4.0, Books,us,270
100284,,80981.11,6,414.64,1.0, Books,U.S.,375
100132,46.0,57899.92,5,278.51,1.0,home & garden,United Kingdom,153
100220,35.0,54843.4,8,455.99,3.0,Apparel ,us,351
100250,34.0,37606.44,4,281.49,4.0,APPAREL,uk,786
100024,33.0,74516.2,8,309.69,5.0,Electronics,ca,556
100208,27.0,79589.63,8,305.63,1.0,Electronics,Canada,345
100302,48.0,70981.25,5,340.54,1.0, Books,U.S.,866
100204,18.0,33126.84,5,197.13,4.0,BOOKS,ca,747
100432,,53900.04,7,204.58,2.0,toys,ca,289
100479,69.0,65880.18,5,246.36,,ELECTRONICS,U.K.,440
100110,43.0,49820.0,7,301.71,4.0,Toys,ca,23
100278,52.0,76384.29,9,252.23,3.0,Books,us,3
100082,34.0,27150.54,8,237.76,4.0,electronics ,U.S.,214
100051,46.0,56482.12,5,328.45,3.0, Books,Canada,19
100448,51.0,79353.1,8,545.11,5.0,Apparel ,United States,607
100537,52.0,125220.57,2,277.28,4.0,Home and Garden,US,28
100523,36.0,37346.07,5,303.45,3.0,Books,U.S.,577
100549,46.0,47644.05,4,201.6,1.0,electronics ,us,84
100212,38.0,58876.14,10,588.0,2.0,Books,United States,470
100018,49.0,,7,242.78,,home & garden,United States,179
100235,30.0,50511.4,11,285.01,4.0, Electronics,us,862
100399,30.0,62022.82,4,176.12,3.0,apparel,UK,872
100602,53.0,52622.22,8,368.78,1.0,APPAREL,ca,609
100061,34.0,52180.73,6,410.32,3.0,books,CA,274
100145,33.0,67133.31,8,520.22,1.0,TOYS,CANADA,704
100353,48.0,40259.85,4,249.79,5.0,electronics,US,122
100029,,80783.77,7,527.56,2.0,Toys,United States,849
100163,28.0,48889.93,6,452.36,1.0,Electronics,uk,419
100321,85.0,41238.25,5,280.83,4.0,electronics,Canada,779
100215,,79882.01,7,540.43,5.0,BOOKS,CA,723
100220,35.0,54843.4,8,455.99,3.0,Apparel ,us,351
100404,44.0,103517.95,6,249.9,4.0, Books,US,992
100174,23.0,104621.79,5,283.58,2.0,TOYS,Canada,407
100430,26.0,33118.28,5,208.06,2.0,Apparel ,U.S.,462
100552,42.0,67322.9,1,148.13,3.0,APPAREL,CA,600
100447,34.0,,9,270.86,2.0,toys,US,705
100340,18.0,59567.04,7,398.97,4.0,apparel,UK,387
100532,33.0,56155.63,10,292.01,1.0,Apparel ,uk,93
100605,44.0,-81081.88,6,279.9,2.0,HOME & GARDEN,uk,788
100209,,36770.15,10,522.28,1.0,TOYS,UK,682
100627,54.0,63602.72,7,465.39,1.0,apparel,U.S.,122
100597,48.0,,8,336.17,5.0,electronics,United States,995
100584,47.0,43346.75,7,432.97,4.0,toys,ca,365
100405,35.0,50384.92,3,251.26,1.0,books,United States,608
100481,55.0,60535.87,10,524.84,2.0,electronics ,CA,921
100480,41.0,,4,179.43,1.0,ELECTRONICS,us,835
100382,19.0,73887.31,6,373.27,4.0,books,US,449
100104,27.0,,8,598.93,2.0,HOME & GARDEN,uk,874
100114,39.0,99160.53,6,236.08,3.0,Apparel ,uk,879
100599,18.0,76550.49,4,327.79,4.0,Home and Garden,uk,816
100388,41.0,44569.39,3,213.02,4.0,Books,CA,299
100467,61.0,59478.65,7,407.85,3.0,APPAREL,US,515
100539,29.0,37500.07,6,324.63,1.0,electronics ,USA,739
100007,34.0,57536.85,4,159.9,2.0,Apparel ,CA,753
100089,43.0,117644.68,4,309.4,2.0,Toys,CA,25
100503,20.0,36697.26,5,245.92,4.0,Books,us,70
100356,41.0,34094.11,10,469.5,2.0,electronics ,U.K.,464
100570,21.0,46166.59,4,140.94,4.0,Toys,UK,730
100349,56.0,,4,231.5,5.0,electronics,UK,41
100341,42.0,63385.51,4,249.64,5.0,Books,United States,160
100234,29.0,47693.34,8,570.54,3.0,ELECTRONICS,uk,218
100140,43.0,89209.12,7,505.6,,ELECTRONICS,United States,37
100519,58.0,48643.06,6,176.43,3.0,ELECTRONICS,Canada,931
100043,41.0,90707.44,4,321.66,1.0,BOOKS,ca,396
100042,30.0,54488.99,1,112.76,1.0,HOME & GARDEN,United States,179
100073,44.0,71404.19,4,285.07,,Home & Garden,United Kingdom,297
100167,,32176.12,9,309.85,1.0,books,Canada,697
100227,61.0,,6,335.05,3.0,APPAREL,us,531
100582,34.0,105885.73,9,395.27,1.0,Apparel,U.S.,984
100066,-5.0,32472.62,3,179.06,2.0,Toys,us,136
100011,47.0,51004.6,5,313.72,1.0,Home & Garden,USA,586
100589,57.0,54492.24,4,290.83,1.0,HOME & GARDEN,CANADA,65
100544,35.0,49851.48,5,166.39,1.0,Home and Garden,CANADA,541
100527,40.0,59946.31,4,191.57,5.0,Apparel ,US,896
100248,73.0,134015.17,3,245.13,4.0, Electronics,UK,765
100335,23.0,114501.35,8,491.84,6.0,apparel,USA,905
100329,32.0,35693.23,9,548.73,3.0,HOME & GARDEN,USA,498
100274,57.0,1070638.28,6,-153.7159851767915,4.0, Books,ca,673
100390,18.0,70008.23,5,315.92,1.0,Toys,USA,974
100177,40.0,,5,9201.462588401944,4.0,apparel,United Kingdom,868
100422,31.0,100843.79,7,207.43,,BOOKS,United States,337
100411,18.0,99272.6,8,523.07,4.0,electronics ,Canada,201
100083,33.0,1402630.11,10,2285.08,4.0,Home & Garden,USA,790
100420,39.0,172505.54,4,433.74,3.0,Apparel,United Kingdom,80
100332,30.0,49162.25,5,324.32,3.0,electronics ,Canada,748
100426,48.0,62734.88,7,226.56,3.0,home & garden,US,398
100079,34.0,79047.23,5,236.84,5.0,Toys,UK,321
100023,36.0,80510.1,10,425.25,5.0, Electronics,Canada,661
100249,24.0,,4,290.75,4.0,Home and Garden,USA,873
100357,41.0,,1,104.33,3.0,Apparel,United States,109
100213,32.0,65369.44,11,509.77,1.0,Electronics,CANADA,252
100260,35.0,72204.29,6,227.08,2.0,APPAREL,U.S.,158
100643,,61347.83,5,395.76,1.0,home & garden,ca,32
100296,42.0,40331.05,3,126.29,3.0,books,US,320
100271,42.0,55669.71,7,249.91,3.0,Books,CA,722
100137,48.0,,10,341.49,1.0, Electronics,UK,828
100290,35.0,22026.97,4,149.36,1.0,Home & Garden,US,369
100033,28.0,65628.61,13,641.79,1.0,APPAREL,United Kingdom,567
100218,36.0,30149.57,9,335.56,,Electronics,CANADA,380
100247,60.0,51239.75,3,221.89,2.0,Home and Garden,USA,264
100009,28.0,32588.42,6,208.84,5.0,electronics,U.S.,992
100022,53.0,58627.07,7,360.83,1.0,Electronics,U.S.,65
100286,41.0,93713.76,4,273.42,3.0,BOOKS,United Kingdom,706
100587,28.0,-86485.41,2,65.72,3.0,BOOKS,United Kingdom,792
100326,19.0,75559.93,6,459.53,2.0,ELECTRONICS,Canada,639
100642,63.0,46272.32,6,302.58,2.0,electronics ,U.S.,435
100084,24.0,90724.21,5,397.96,2.0,books,CA,388
100314,48.0,59123.52,3,102.39,3.0,electronics,USA,32
100494,34.0,84723.38,9,296.73,4.0, Electronics,ca,359
100486,29.0,47946.48,9,497.71,3.0,books,Canada,478
100259,22.0,99532.33,8,341.76,2.0,Apparel ,ca,439
100203,46.0,43477.63,4,267.8,2.0,home & garden,USA,666
100196,46.0,61754.21,6,373.43,1.0,BOOKS,USA,220
100636,36.0,28516.94,5,203.86,2.0,TOYS,United States,625
100093,37.0,59975.09,8,405.96,5.0,Apparel ,United States,398
100277,25.0,65069.18,5,403.42,3.0,Books,CANADA,566
100244,64.0,66044.96,9,599.9,5.0, Books,United States,118
100449,43.0,37947.85,6,307.4,4.0,Apparel,CANADA,16
100610,26.0,74503.33,7,494.76,4.0,Apparel ,United States,860
100028,43.0,51178.17,4,297.15,6.0,Home & Garden,USA,568
100184,43.0,61402.84,8,254.43,4.0, Electronics,CA,501
100538,18.0,121380.92,6,452.07,4.0,Home and Garden,us,527
100630,57.0,62225.21,10,422.84,4.0,APPAREL,USA,26
100178,37.0,43433.15,6,243.98,4.0,apparel,US,443
100377,18.0,46563.29,9,501.08,3.0,ELECTRONICS,U.S.,863
100153,32.0,54769.43,4,320.77,5.0,APPAREL,us,567
100075,46.0,74373.86,7,471.43,5.0,BOOKS,CANADA,13
100381,54.0,82877.44,4,338.15,3.0,Apparel,ca,692
100092,33.0,,4,257.76,1.0,HOME & GARDEN,US,473
100375,,54249.45,4,268.66,,toys,us,870
100068,,104394.71,6,491.86,2.0,electronics,uk,597
100393,44.0,39568.17,6,353.05,3.0,Electronics,ca,222
100355,41.0,50492.64,10,348.44,4.0, Electronics,us,293
100531,27.0,73279.76,5,365.12,3.0,electronics ,CANADA,14
100188,22.0,66004.58,7,12109.457893441613,3.0,home & garden,United States,406
100015,28.0,44919.0,4,80.26,4.0,TOYS,CANADA,522
100363,25.0,65815.78,4,254.5,,Apparel,CA,144
100265,50.0,64322.65,7,227.26,3.0,home & garden,us,477
100236,18.0,,4,333.87,2.0,HOME & GARDEN,ca,18
100231,31.0,24566.82,9,365.84,3.0, Electronics,U.S.,469
100088,44.0,85216.38,6,335.44,4.0,apparel,US,596
100563,29.0,57571.92,4,245.12,3.0, Electronics,uk,984
100117,38.0,60138.19,6,273.86,2.0, Electronics,ca,603
100490,51.0,54107.89,5,235.64,1.0,APPAREL,ca,195
100548,46.0,48270.16,7,172.79,2.0,apparel,ca,223
100238,25.0,86182.57,4,223.19,3.0,APPAREL,CA,437
100000,42.0,64460.31,3,158.64,1.0,Home and Garden,US,896
100607,43.0,59562.97,2,189.86,4.0,ELECTRONICS,U.S.,983
100512,39.0,52693.46,1,-111.01806013523883,5.0,toys,us,127
100440,,71427.24,2,260.04,2.0,apparel,US,45
100320,47.0,52988.8,3,166.56,2.0,HOME & GARDEN,Canada,625
100116,41.0,99140.26,4,287.17,1.0,Home & Garden,us,690
100228,,65013.47,3,121.29,5.0,ELECTRONICS,U.S.,961
100291,40.0,69142.81,7,285.5,5.0,APPAREL,CA,153
100580,18.0,70764.76,5,238.98,,Electronics,ca,382
100409,22.0,38585.06,4,238.68,1.0, Books,CA,825
100144,28.0,39319.8,5,329.63,1.0,electronics ,U.K.,706
100541,28.0,102322.06,6,456.65,2.0,books,uk,925
100350,42.0,52932.99,9,365.09,4.0,electronics,USA,428
100603,30.0,85300.18,6,391.21,4.0,APPAREL,United States,243
100463,18.0,67569.12,4,221.46,3.0,HOME & GARDEN,USA,387
100268,39.0,120870.99,6,459.71,1.0,Books,Canada,969
100431,44.0,76954.21,7,229.97,4.0,Home and Garden,us,93
100046,48.0,60156.08,10,300.72,3.0,APPAREL,UK,148
100261,,98717.73,3,283.09,2.0,Home and Garden,USA,231
100195,27.0,81970.2,5,311.85,4.0,BOOKS,U.S.,943
100643,,61347.83,5,395.76,1.0,home & garden,ca,32
100557,26.0,22656.89,7,169.15,5.0,Electronics,Canada,200
100107,34.0,67188.53,5,242.84,5.0,electronics,U.K.,40
100428,21.0,49162.42,6,276.41,5.0,Toys,CA,887
100488,28.0,75599.19,5,306.34,,electronics,CANADA,787
100304,37.0,62641.52,6,225.33,5.0,Apparel,us,390
100506,67.0,39695.62,6,157.21,1.0,Electronics,U.K.,664
100328,24.0,73358.36,2,137.3,5.0, Books,United States,826
100596,32.0,65931.85,7,442.21,5.0, Electronics,U.S.,568
100312,59.0,63781.64,8,239.24,3.0,Home and Garden,U.S.,79
100179,41.0,53698.01,12,637.41,4.0,Apparel ,United States,704
100327,,68478.51,3,223.53,3.0,toys,CA,943
100149,40.0,57385.36,7,413.13,1.0,Home & Garden,US,199
100124,48.0,59675.84,9,432.77,2.0, Books,us,937
100530,34.0,67801.8,4,315.64,4.0,home & garden,CA,25
100577,53.0,69697.2,3,163.96,4.0,apparel,CA,313
100185,,117658.99,5,295.69,3.0,Apparel,CA,267
100554,37.0,50100.07,8,241.52,1.0,Books,CANADA,462
100369,48.0,29850.02,5,97.17,2.0,Books,us,661
100231,31.0,24566.82,9,365.84,3.0, Electronics,U.S.,469
100326,19.0,75559.93,6,459.53,2.0,ELECTRONICS,Canada,639
100616,47.0,69944.94,5,262.95,2.0,Electronics,CA,610
100142,18.0,57726.23,7,284.96,3.0,electronics,United Kingdom,783
100141,89.0,92161.24,6,404.99,2.0,Toys,United Kingdom,294
100613,43.0,106636.25,6,489.66,3.0, Books,CANADA,694
100019,37.0,146060.98,5,411.88,5.0,HOME & GARDEN,Canada,724
100172,33.0,23549.06,4,261.73,3.0,electronics ,ca,239
100542,41.0,41628.69,4,245.16,1.0, Electronics,Canada,662
100012,39.0,25270.85,6,223.6,1.0,Apparel,US,875
100305,25.0,40031.47,9,354.66,5.0, Electronics,US,964
100025,34.0,94483.38,6,252.07,1.0,electronics,us,549
100482,39.0,60108.69,3,205.79,3.0,toys,Canada,857
100169,38.0,60550.52,6,469.59,5.0,toys,US,337
100443,54.0,,5,240.2,5.0,HOME & GARDEN,U.S.,216
100571,37.0,73316.02,4,295.66,1.0,BOOKS,United Kingdom,940
100245,23.0,54523.6,5,225.76,5.0,Toys,U.S.,304
100298,18.0,96434.01,5,259.35,3.0,Home and Garden,U.S.,913
100412,30.0,57025.68,6,357.14,1.0,electronics,U.S.,524
100272,37.0,61392.21,4,262.97,5.0, Books,United States,372
100154,37.0,48545.14,8,457.69,5.0,electronics,U.K.,239
100126,56.0,85873.04,4,260.62,5.0,Books,us,634
100437,25.0,45421.72,6,280.56,2.0,books,US,875
100287,39.0,66674.24,9,558.7,2.0,TOYS,UK,482
100113,21.0,111335.01,8,419.8,2.0,BOOKS,U.S.,977
100344,57.0,49018.74,4,335.94,1.0,books,United Kingdom,181
100173,23.0,66923.23,6,396.9,3.0, Electronics,US,911
100333,26.0,80643.37,5,385.97,3.0,TOYS,U.S.,503
100057,56.0,58197.7,5,204.59,5.0,Toys,United Kingdom,767
100522,54.0,72122.43,6,381.39,2.0, Electronics,CA,467
100222,150.0,64073.35,5,400.02,4.0,BOOKS,United States,610
100280,44.0,58905.11,5,205.44,1.0,Home and Garden,US,618
100017,26.0,,7,297.29,2.0, Electronics,USA,504
100380,39.0,,4,217.6,3.0,Home and Garden,U.S.,33
100322,52.0,72500.56,9,371.43,3.0,HOME & GARDEN,UK,532
100255,47.0,74708.81,7,431.47,1.0,toys,US,904
100607,43.0,59562.97,2,189.86,4.0,ELECTRONICS,U.S.,983
100640,20.0,44582.44,2,116.52,5.0,home & garden,U.K.,146
100190,59.0,85004.1,8,593.73,,ELECTRONICS,uk,431
100559,,30308.7,4,266.36,4.0,Toys,UK,270
100588,41.0,61819.89,6,377.14,5.0,electronics,Canada,475
100533,43.0,106428.61,5,494.25,5.0,apparel,US,548
100094,18.0,50764.26,3,229.71,5.0,Electronics,CA,91
100180,54.0,103993.56,6,452.09,4.0,TOYS,USA,235
100301,20.0,57134.78,6,370.38,1.0,Home and Garden,USA,475
100473,40.0,43885.25,6,442.71,3.0,ELECTRONICS,US,522
100421,28.0,47045.93,9,428.0,2.0, Electronics,UK,360
100573,27.0,47535.33,8,206.68,,ELECTRONICS,United States,341
100398,44.0,,5,333.42,2.0,TOYS,US,711
100005,,41060.95,6,406.47,3.0,Apparel,US,759
100045,41.0,42020.64,5,243.64,5.0,Toys,U.S.,356
100518,49.0,35914.43,7,444.55,3.0,electronics,USA,31
100575,21.0,36886.94,5,240.19,4.0,Home and Garden,United States,529
100487,43.0,60942.11,5,370.75,4.0, Electronics,US,181
100016,42.0,38292.86,9,311.85,5.0,Apparel ,US,956
100048,46.0,43566.41,7,369.51,5.0,Apparel ,United States,599
100646,45.0,79993.3,5,263.67,3.0,Toys,U.K.,228
100611,41.0,76419.95,4,300.57,2.0,toys,UK,473
100003,49.0,34885.05,4,141.79,5.0,APPAREL,US,89
100446,51.0,74343.6,7,337.5,4.0,TOYS,UK,365
100395,40.0,62605.37,14,557.71,4.0,electronics,US,91
100316,39.0,75186.43,3,217.92,3.0,electronics ,CANADA,918
100283,43.0,65411.73,10,663.86,3.0,Home & Garden,ca,979
100465,32.0,,2,178.59,5.0,Toys,uk,21
100285,32.0,70727.22,9,304.71,5.0, Books,ca,272
100425,34.0,69510.88,8,542.88,5.0,Toys,United States,462
100225,41.0,40886.91,6,326.03,3.0,electronics ,US,15
100026,44.0,50579.15,5,222.6,5.0,toys,U.S.,91
100526,55.0,78032.82,5,395.14,1.0,APPAREL,US,118
100263,31.0,52357.19,8,476.21,3.0,Apparel ,CANADA,6
100050,41.0,73889.15,8,327.07,4.0,BOOKS,CA,779
100364,36.0,66877.05,6,332.9,1.0,Home and Garden,U.K.,246
100229,35.0,94391.38,9,486.58,,electronics,U.K.,627
100037,28.0,43122.12,4,254.28,2.0,Books,U.S.,938
100157,50.0,49640.88,9,545.63,2.0,ELECTRONICS,United States,954
100237,88.0,58324.89,4,130.28,3.0,Home and Garden,USA,593
100641,46.0,40998.69,7,365.41,5.0,HOME & GARDEN,United Kingdom,605
100374,45.0,65503.74,3,258.71,1.0,Apparel,uk,119
100370,38.0,60663.46,5,244.46,2.0,home & garden,us,9
100175,40.0,40505.97,9,508.72,2.0,Toys,U.S.,80
100618,31.0,,5,275.99,2.0,electronics ,UK,282
100444,34.0,74361.17,4,300.72,5.0,apparel,US,140
100194,25.0,48288.08,11,426.13,2.0,apparel,UK,535
100632,33.0,80283.47,7,392.63,1.0,electronics,USA,695
100483,45.0,114494.5,5,231.44,,Home and Garden,U.K.,553
100645,36.0,74665.91,1,163.77,2.0,APPAREL,United States,702
100572,41.0,74096.45,5,212.52,4.0,BOOKS,uk,729
100067,32.0,42253.12,9,367.39,3.0,Home and Garden,USA,733
100408,18.0,55586.28,7,196.61,2.0,home & garden,UK,486
100168,36.0,60210.88,7,239.6,2.0,toys,us,345
100436,32.0,63029.4,3,126.0,,ELECTRONICS,CANADA,561
100162,64.0,,7,433.36,2.0,electronics ,uk,189
100309,59.0,57756.58,6,288.27,2.0,apparel,CA,130
100193,56.0,55276.28,5,268.45,,electronics,United States,705
100456,51.0,56858.67,5,144.09,2.0,toys,us,409
100365,56.0,72226.99,6,220.2,1.0, Books,U.S.,38
100383,23.0,40428.18,4,316.71,5.0,home & garden,United Kingdom,849
100550,43.0,44558.63,5,284.09,4.0, Electronics,US,223
100152,18.0,61794.46,6,459.99,1.0,Apparel ,us,120
100417,54.0,45703.36,7,217.51,4.0,electronics ,uk,929
100429,43.0,37419.44,3,149.23,1.0,Home & Garden,US,315
100226,68.0,44101.39,6,369.58,2.0,Apparel ,us,142
100445,20.0,71826.13,4,189.53,4.0,ELECTRONICS,ca,707
100536,32.0,77934.01,6,471.66,5.0,TOYS,Canada,820
100103,,96359.76,4,329.3,3.0,Toys,USA,166
100501,49.0,27675.9,9,483.54,,books,ca,648
100074,40.0,61454.03,8,454.39,3.0,apparel,US,882
100115,32.0,64799.13,7,463.62,1.0,Home and Garden,U.S.,49
100407,48.0,,4,284.84,1.0,Home and Garden,ca,434
100644,34.0,,3,-180.61512108173474,1.0,books,CANADA,944
100119,35.0,40232.79,3,186.59,1.0,electronics ,U.S.,343
100497,34.0,76719.79,4,209.6,,books,ca,714
100151,26.0,51584.29,10,513.11,3.0,TOYS,U.S.,524
100403,33.0,55896.23,7,352.08,1.0,ELECTRONICS,U.S.,261
100629,18.0,34570.67,9,283.06,2.0,electronics,USA,35
100207,23.0,44502.11,5,393.59,4.0,TOYS,uk,74
100424,27.0,55045.92,11,647.51,3.0,home & garden,US,917
100451,42.0,97556.18,5,319.17,5.0, Electronics,Canada,5
100434,49.0,61711.0,4,232.01,2.0,Home and Garden,US,900
100516,46.0,43246.72,8,241.89,5.0,HOME & GARDEN,U.K.,688
100008,38.0,33084.68,5,305.64,1.0,Home & Garden,United States,738
100485,36.0,29727.96,10,319.73,,APPAREL,us,492
100036,37.0,27560.81,11,431.08,4.0, Books,United States,731
100139,73.0,91182.79,6,217.17,4.0,home & garden,ca,533
100253,26.0,44006.66,7,341.11,3.0,toys,US,943
100303,34.0,108540.28,2,252.05,5.0,home & garden,uk,856
100586,24.0,47409.65,7,413.89,2.0,BOOKS,us,498
100500,54.0,105753.56,5,240.66,4.0,APPAREL,United States,347
100368,40.0,52827.44,11,289.99,1.0,APPAREL,CANADA,30
100059,50.0,36487.18,4,283.51,4.0,TOYS,United Kingdom,176
100111,41.0,38619.73,3,213.22,2.0,TOYS,U.S.,811
100453,63.0,107669.43,2,208.1,3.0,Toys,U.S.,473
100277,25.0,65069.18,5,403.42,3.0,Books,CANADA,566
