User ID,Daily Time Spent on Site,Age,EstimatedSalary,Daily Internet Usage,Ad Topic Line,City,Country,Timestamp,Gender,Clicked
15621083,74.58,40,23822,135.51,Advanced 24/7 productivity,Millertown,Russian Federation,2016-02-27 04:43:07,Female,1
15649487,77.22,30,64802,224.44,Object-based reciprocal knowledgebase,Port Jacqueline,Cameroon,2016-01-05 07:52:48,Male,0
15736760,84.59,35,60016,226.54,Streamlined non-volatile analyzer,Lake Nicole,Cameroon,2016-03-18 13:22:35,Female,0
15714658,41.49,52,32636,164.83,Mandatory disintermediate utilization,South John,Burundi,2016-05-20 08:49:33,Male,1
15599081,87.29,36,61629,209.93,Future-proofed methodical protocol,Pamelamouth,Korea,2016-03-23 09:43:43,Female,0
15705113,41.39,41,68962,167.22,Exclusive neutral parallelism,Harperborough,Tokelau,2016-06-13 17:27:09,Male,1
15631159,78.74,28,64828,204.79,Public-key foreground groupware,Port Danielleberg,Monaco,2016-05-27 15:25:52,Male,0
15792818,48.53,28,38067,134.14,Ameliorated client-driven forecast,West Jeremyside,Tuvalu,2016-02-08 10:46:14,Male,1
15633531,51.95,52,58296,129.23,Monitored systematic hierarchy,South Cathyfurt,Greece,2016-07-19 08:32:10,Female,1
15744529,70.2,34,32709,119.2,Open-architected impactful productivity,Palmerside,British Virgin Islands,2016-04-14 05:08:35,Male,1
15669656,76.02,22,46180,209.82,Business-focused value-added definition,West Guybury,Bouvet Island (Bouvetoya),2016-01-27 12:38:16,Male,0
15581198,67.64,35,51473,267.01,Programmable asymmetric data-warehouse,Phelpschester,Peru,2016-07-02 20:23:15,Male,0
15729054,86.41,28,45594,207.48,Digitized static capability,Lake Melindamouth,Aruba,2016-03-01 22:13:37,Female,0
15573452,59.05,57,25583,169.23,Digitized global capability,North Richardburgh,Maldives,2016-07-15 05:05:14,Female,1
15776733,55.6,23,30228,212.58,Multi-layered 4thgeneration knowledge user,Port Cassie,Senegal,2016-01-14 14:00:09,Female,1
15724858,57.64,57,45581,133.81,Synchronized dedicated service-desk,New Thomas,Dominica,2016-03-15 03:12:25,Male,1
15713144,84.37,30,61390,201.58,Synchronized systemic hierarchy,Johnstad,Luxembourg,2016-04-12 03:26:39,Male,0
15690188,62.26,53,56771,125.45,Profound stable product,West Aprilport,Montenegro,2016-04-07 15:18:10,Female,1
15689425,65.82,39,76435,221.94,Reactive demand-driven capacity,Kellytown,Ukraine,2016-02-09 05:28:18,Male,0
15671766,50.43,46,57426,119.32,Persevering needs-based open architecture,Charlesport,Saint Helena,2016-05-07 17:11:49,Female,1
15782806,38.93,39,27508,162.08,Intuitive exuding service-desk,Millerchester,Liberia,2016-03-11 06:49:10,Female,1
15764419,84.98,29,57692,202.61,Innovative user-facing extranet,Mackenziemouth,Russian Federation,2016-04-27 09:27:58,Female,0
15591915,64.24,30,59784,252.36,Front-line intermediate database,Zacharystad,Tunisia,2016-04-16 11:53:43,Female,0
15772798,82.52,32,66572,198.11,Persevering exuding system engine,North Joshua,Turkmenistan,2016-05-08 15:38:46,Male,0
15792008,81.38,31,64930,212.3,Balanced dynamic application,Bowenview,Saint Helena,2016-02-08 00:23:38,Male,0
15715541,80.47,25,57520,204.86,Reduced global support,Jamesberg,Niger,2016-02-11 13:26:22,Female,0
15639277,37.68,52,53575,172.83,Organic leadingedge secured line,Lake Cassandraport,Turkmenistan,2016-02-17 13:16:33,Male,1
15798850,69.62,20,50984,202.25,Business-focused encompassing neural-net,New Sharon,Qatar,2016-02-26 22:46:43,Male,0
15776348,85.4,43,67059,198.72,Triple-buffered demand-driven alliance,Johnport,Sri Lanka,2016-06-08 18:54:01,Female,0
15727696,44.33,37,52723,123.72,Visionary maximized process improvement,Hamiltonfort,Trinidad and Tobago,2016-01-08 09:32:26,Male,1
15793813,48.01,46,54286,119.93,Centralized 24/7 installation,West Christopher,Italy,2016-04-25 11:01:54,Female,1
15694395,73.18,23,61526,196.71,Organized static focus group,Hollandberg,British Virgin Islands,2016-04-04 07:07:46,Female,0
15764195,79.94,28,58526,225.29,Visionary reciprocal circuit,Odomville,United Kingdom,2016-05-03 21:19:58,Female,0
15744919,33.33,45,53350,193.58,Pre-emptive value-added workforce,East Samanthashire,Guinea-Bissau,2016-01-17 09:31:36,Female,1
15671655,50.33,50,62658,133.2,Sharable analyzing alliance,South Lauraton,Micronesia,2016-03-02 04:57:51,Female,1
15654901,62.31,47,62723,119.3,Team-oriented encompassing portal,Amandahaven,Turkey,2016-02-14 07:36:58,Female,1
15649136,80.6,31,67480,177.55,Sharable bottom-line solution,Thomasview,Croatia,2016-04-07 03:56:16,Female,0
15775562,65.19,36,75255,150.61,Cross-group regional website,Garciaside,Israel,2016-02-17 11:42:00,Female,1
15807481,44.98,49,52337,129.31,Organized global model,Port Sarahshire,Svalbard & Jan Mayen Islands,2016-04-10 00:13:47,Male,1
15642885,77.63,29,56113,239.22,Upgradable asynchronous circuit,Port Gregory,Azerbaijan,2016-02-14 17:05:15,Male,0
15789109,41.82,41,24853,156.36,Phased transitional instruction set,Brendachester,Iran,2016-05-26 22:49:47,Female,1
15814004,85.61,27,47708,183.43,Customer-focused empowering ability,Lake Amy,Burundi,2016-04-30 08:07:13,Male,0
15673619,85.84,34,64655,192.93,Front-line heuristic data-warehouse,Lake Annashire,Saint Vincent and the Grenadines,2016-06-15 05:30:13,Male,0
15595135,72.08,29,71228,169.5,Stand-alone national attitude,Smithburgh,Burundi,2016-03-09 14:45:33,Female,0
15583681,86.06,32,61601,178.92,Focused upward-trending core,North Leonmouth,Bulgaria,2016-03-31 20:55:22,Male,0
15605000,45.96,45,66281,141.22,Streamlined cohesive conglomeration,Robertfurt,Christmas Island,2016-06-03 00:55:23,Female,1
15718071,62.42,29,73911,198.5,Upgradable optimizing toolset,Jasminefort,Canada,2016-03-10 23:36:03,Male,0
15679760,63.89,40,51317,105.22,Synchronized user-facing core,Jensenborough,Rwanda,2016-01-08 00:17:27,Male,1
15654574,35.33,32,51510,200.22,Organized client-driven alliance,Bradleyburgh,Turks and Caicos Islands,2016-06-05 22:11:34,Female,1
15577178,75.74,25,61006,215.25,Ergonomic multi-state structure,New Sheila,Tunisia,2016-01-16 11:35:01,Female,0
15595324,78.53,34,32537,131.72,Synergized multimedia emulation,North Regina,Norfolk Island,2016-04-22 20:10:22,Female,1
15756932,46.13,31,60249,139.01,Customer-focused optimizing moderator,Davidmouth,Bouvet Island (Bouvetoya),2016-02-01 09:00:55,Male,1
15726358,69.01,46,74544,222.63,Advanced full-range migration,New Michaeltown,Turks and Caicos Islands,2016-07-07 13:37:34,Female,0
15595228,55.35,39,75510,153.17,De-engineered object-oriented protocol,East Tammie,Cook Islands,2016-03-08 00:37:54,Female,1
15782530,33.21,43,42650,167.07,Polarized clear-thinking budgetary management,Wilcoxport,Turkey,2016-05-10 17:39:06,Female,1
15592877,38.46,42,58183,145.98,Customizable 6thgeneration knowledge user,East Michaelmouth,Guatemala,2016-04-06 11:24:21,Male,1
15651983,64.1,22,60466,215.93,Seamless object-oriented structure,East Tiffanyport,Cote d'Ivoire,2016-04-01 16:21:05,Male,0
15746737,49.81,35,57010,120.06,Seamless real-time array,Ramirezhaven,Faroe Islands,2016-01-05 04:18:46,Male,1
15774179,82.73,33,54542,238.99,Grass-roots impactful system engine,Cranemouth,Qatar,2016-05-20 21:31:24,Female,0
15667265,56.14,38,32689,113.53,Devolved tangible approach,Lake Edward,Ireland,2016-02-03 07:59:16,Female,1
15655123,55.13,45,55606,111.71,Customizable executive software,Lake Conniefurt,Ukraine,2016-02-17 21:55:29,Female,1
15595917,78.11,27,63297,209.25,Progressive analyzing attitude,East Shawnchester,Moldova,2016-01-30 16:10:04,Male,0
15668385,73.46,28,65653,222.75,Innovative executive encoding,West Joseph,Nicaragua,2016-05-15 14:41:49,Male,0
15709476,56.64,38,61653,115.91,Down-sized uniform info-mediaries,Lake Christopherfurt,Montserrat,2016-01-05 17:56:52,Male,1
15711218,68.94,54,30726,138.71,Streamlined next generation implementation,East Tylershire,Timor-Leste,2016-04-19 07:34:28,Male,1
15798659,70.79,31,74536,184.1,Distributed tertiary system engine,Sharpberg,Bouvet Island (Bouvetoya),2016-03-15 15:49:14,Female,0
15663939,57.76,41,47862,105.15,Triple-buffered scalable groupware,Lake Dustin,Puerto Rico,2016-06-12 15:25:44,Female,1
15694946,77.51,36,73600,200.55,Total 5thgeneration encoding,North Kristine,Central African Republic,2016-07-01 04:41:57,Male,0
15631912,52.7,34,58544,118.6,Integrated human-resource encoding,Grahamberg,Venezuela,2016-05-08 12:12:04,Female,1
15768816,57.7,34,42697,109.07,Phased dynamic customer loyalty,New Tina,Australia,2016-03-14 23:13:11,Male,1
15682268,56.89,37,37335,109.29,Open-source coherent policy,Nelsonfurt,Wallis and Futuna,2016-05-25 00:19:57,Male,1
15684801,69.9,43,71393,138.35,Down-sized modular intranet,Christopherport,Jersey,2016-05-13 11:51:10,Male,1
15636428,55.79,24,59550,149.67,Pre-emptive content-based focus group,Port Sarahhaven,Puerto Rico,2016-02-20 20:47:05,Female,1
15809823,70.03,26,64264,227.72,Versatile 4thgeneration system engine,Bradleyborough,Samoa,2016-05-22 20:49:37,Male,0
15699284,50.08,40,64148,125.85,Ergonomic full-range time-frame,Whiteport,Greece,2016-04-10 02:02:36,Female,1
15786993,43.67,31,25686,166.29,Automated directional function,New Theresa,Antarctica (the territory South of 60 deg S),2016-02-28 06:41:44,Female,1
15709441,72.84,26,52968,238.63,Progressive empowering alliance,Wongland,Albania,2016-07-08 21:18:32,Female,0
15710257,45.72,36,22473,154.02,Versatile homogeneous capacity,Williammouth,Hong Kong,2016-04-19 15:14:58,Female,1
15582492,39.94,41,64927,156.3,Function-based optimizing protocol,Williamsborough,Lithuania,2016-01-08 22:47:10,Male,1
15575694,35.61,46,51869,158.22,Up-sized secondary software,North Michael,Egypt,2016-03-28 08:46:26,Male,1
15756820,79.71,34,69457,211.65,Seamless holistic time-frame,Benjaminchester,Bangladesh,2016-07-02 14:57:53,Female,0
15766289,41.49,53,31948,169.18,Persevering reciprocal firmware,Hernandezville,Western Sahara,2016-07-03 09:22:30,Male,1
15593014,63.6,23,51865,235.28,Centralized logistical secured line,Youngburgh,Serbia,2016-06-01 09:27:34,Male,0
15584545,89.91,40,59594,194.23,Innovative background conglomeration,Wallacechester,Maldives,2016-07-09 14:55:36,Female,0
15675949,68.18,21,48376,218.17,Switchable 3rdgeneration hub,Sanchezmouth,Czech Republic,2016-02-09 22:04:54,Female,0
15672091,66.49,20,56885,202.16,Polarized 6thgeneration info-mediaries,Bradshawborough,Guernsey,2016-06-10 11:31:33,Female,0
15801658,80.49,40,67187,229.12,Balanced heuristic approach,Amyhaven,Tanzania,2016-02-14 03:50:52,Male,0
15706185,72.23,25,46558,241.03,Focused 24hour implementation,Marcushaven,Bhutan,2016-07-05 17:17:49,Female,0
15789863,42.39,42,66541,150.99,De-engineered mobile infrastructure,Erinton,Christmas Island,2016-04-28 05:50:25,Male,1
15720943,47.53,30,33258,135.18,Customer-focused upward-trending contingency,Hughesport,Guinea,2016-04-03 05:10:31,Male,1
15697997,74.02,32,72273,210.54,Operative system-worthy protocol,Johnstad,Micronesia,2016-03-09 14:57:11,Female,0
15665416,66.63,60,60333,176.98,User-friendly upward-trending intranet,New Lucasburgh,Madagascar,2016-01-16 23:37:51,Female,1
15660200,63.24,53,65229,235.78,Future-proofed holistic superstructure,Michelleside,Lebanon,2016-07-03 04:33:41,Female,1
15619653,71.0,22,56067,211.87,Extended systemic policy,Andersonton,Eritrea,2016-03-14 06:46:14,Male,0
15773447,46.13,46,37839,123.64,Horizontal hybrid challenge,New Rachel,Guyana,2016-01-09 05:44:56,Male,1
15739160,69.0,32,72683,221.21,Virtual composite model,Port Susan,Trinidad and Tobago,2016-02-11 04:37:34,Male,0
15689237,76.99,31,56730,244.34,Switchable mobile framework,West Angelabury,Jersey,2016-06-22 07:33:21,Male,0
15679297,72.6,55,66816,162.95,Focused intangible moderator,Port Christopherborough,United Arab Emirates,2016-07-13 16:12:24,Male,1
15591433,61.88,42,60224,112.19,Balanced actuating moderator,Phillipsbury,Martinique,2016-07-23 11:46:28,Male,1
15642725,84.45,50,29728,207.18,Customer-focused transitional strategy,Millerside,Somalia,2016-07-13 04:10:53,Male,1
15701962,88.97,45,49270,152.49,Advanced web-enabled standardization,Lake Jessica,Bhutan,2016-06-11 18:32:12,Male,1
15811613,86.19,31,57669,210.26,Pre-emptive executive knowledgebase,Lopezmouth,Greece,2016-05-08 12:51:00,Female,0
15741049,49.58,26,56792,231.94,Self-enabling holistic process improvement,Johnsport,Benin,2016-04-07 16:02:02,Male,0
15724423,77.65,27,63275,212.79,Horizontal client-driven hierarchy,South Ronald,Papua New Guinea,2016-02-04 13:30:32,Female,0
15574305,37.75,36,35467,225.24,Polarized dynamic throughput,South Daniel,Uzbekistan,2016-02-26 19:48:23,Male,1
15678168,62.33,43,68787,127.11,Devolved zero administration intranet,Suzannetown,South Africa,2016-06-21 13:15:21,Female,1
15697020,79.57,31,61228,230.93,User-friendly asymmetric info-mediaries,Lisaberg,Egypt,2016-05-17 04:27:31,Female,0
15610801,80.31,44,56367,127.07,Cross-platform regional task-force,Brianfurt,Hungary,2016-04-18 15:54:33,Male,1
15745232,89.05,45,57868,206.98,Polarized bandwidth-monitored moratorium,Stewartbury,Falkland Islands (Malvinas),2016-04-03 10:07:56,Male,0
15722758,70.41,27,66618,223.03,Centralized systematic knowledgebase,Benjaminchester,Dominica,2016-04-04 21:30:46,Male,0
15792102,67.36,37,73104,233.56,Future-proofed grid-enabled implementation,North Wesleychester,Jersey,2016-07-06 16:00:33,Female,0
15675185,46.98,50,21645,175.37,Down-sized well-modulated archive,East Michelleberg,Lithuania,2016-05-04 09:00:24,Male,1
15801247,41.67,36,53817,132.55,Realigned zero tolerance emulation,Port Eric,Saint Martin,2016-06-13 18:50:00,Male,1
15725660,51.24,36,76368,176.73,Versatile transitional monitoring,Timothyfurt,Cuba,2016-01-03 16:01:40,Male,1
15638963,75.7,29,67633,215.44,Profound zero administration instruction set,Port Jeffrey,United States Minor Outlying Islands,2016-01-14 00:23:10,Female,0
15800061,43.49,47,50335,127.83,User-centric intangible task-force,Guzmanland,Belize,2016-01-12 10:07:29,Female,1
15578006,49.89,39,17710,160.03,Enhanced system-worthy application,East Michele,Belize,2016-04-16 12:09:25,Male,1
15668504,38.37,36,41229,140.46,Multi-layered user-facing paradigm,East John,Antarctica (the territory South of 60 deg S),2016-05-13 06:09:28,Female,1
15687491,38.52,38,42581,137.28,Customer-focused 24/7 concept,Lesliebury,Saint Vincent and the Grenadines,2016-03-27 23:59:06,Male,1
15610403,71.89,23,61618,172.81,Function-based transitional complexity,Patriciahaven,Kuwait,2016-02-03 23:47:56,Female,0
15741094,75.8,38,70576,146.19,Progressive clear-thinking open architecture,Ashleychester,Thailand,2016-04-18 11:23:05,Male,0
15807909,83.86,31,64122,190.25,Up-sized executive moderator,Lake Josetown,Gibraltar,2016-02-05 19:06:01,Male,0
15666141,37.51,30,52097,163.0,Re-contextualized optimal service-desk,Debraburgh,Holy See (Vatican City State),2016-03-21 18:46:41,Female,1
15617134,55.6,44,65954,124.38,Fully-configurable neutral open system,New Debbiestad,Korea,2016-06-14 11:59:58,Male,1
15783029,83.67,44,60193,234.26,Upgradable system-worthy array,West Shaun,Saint Helena,2016-02-06 23:08:57,Male,0
15622833,69.08,41,77460,210.6,Ergonomic client-driven application,Kimberlyhaven,Turks and Caicos Islands,2016-03-12 01:39:19,Female,0
15746422,37.47,44,45716,141.89,Realigned content-based leverage,Port Lawrence,Czech Republic,2016-01-26 03:56:18,Female,1
15750839,56.04,49,65121,128.95,Decentralized real-time circuit,West Ricardo,Netherlands,2016-02-07 08:02:31,Female,1
15749130,70.92,41,49996,108.16,Polarized modular function,Lake Jose,Belarus,2016-05-05 07:58:22,Female,1
15779862,49.78,46,71719,152.24,Enterprise-wide client-driven contingency,Heatherberg,Dominica,2016-06-29 02:43:29,Male,1
15767871,68.61,57,61770,150.29,Diverse modular interface,South George,South Africa,2016-04-10 19:48:01,Male,1
15679651,58.18,25,69113,176.28,Polarized analyzing concept,Tinachester,New Zealand,2016-02-10 06:37:56,Female,0
15576219,78.54,35,72525,172.1,Multi-channeled asynchronous open system,Port Jodi,Togo,2016-05-28 20:41:50,Male,0
15699247,37.0,48,36782,158.22,Function-based context-sensitive secured line,Jonathantown,Kenya,2016-03-24 06:36:52,Male,1
15619087,65.4,33,66699,247.31,Adaptive 24hour Graphic Interface,Sylviaview,Palau,2016-02-12 22:51:08,Female,0
15605327,79.52,27,64288,183.48,Automated coherent flexibility,East Timothyport,Timor-Leste,2016-06-10 10:11:00,Male,0
15610140,87.98,38,56638,222.11,Focused scalable complexity,West Roytown,Cambodia,2016-03-31 10:44:46,Female,0
15791174,44.64,36,55788,127.01,Up-sized incremental encryption,Codyburgh,Belize,2016-02-14 06:51:43,Male,1
15602373,41.73,28,61142,202.18,Sharable dedicated Graphic Interface,Port Erikhaven,Cuba,2016-01-07 19:16:05,Male,1
15762605,80.46,27,61626,207.96,Digitized zero administration paradigm,Port Chasemouth,Costa Rica,2016-02-04 02:13:52,Male,0
15598840,75.55,36,73235,159.24,Managed grid-enabled standardization,Ramirezside,Liechtenstein,2016-05-09 02:58:58,Female,1
15744279,76.32,35,74166,195.31,Networked foreground definition,East Michaeltown,Korea,2016-06-23 00:16:02,Male,0
15670619,82.68,33,62670,222.77,Re-engineered exuding frame,West Courtney,Ukraine,2016-06-20 09:35:02,Male,0
15599533,72.01,31,57757,251.0,Horizontal multi-state interface,West Michaelhaven,Angola,2016-02-29 12:31:57,Female,0
15757837,75.83,24,58020,162.44,Diverse stable circuit,Walshhaven,Nauru,2016-01-17 15:10:31,Male,0
15697574,41.28,50,50960,140.39,Universal 24/7 implementation,East Rachelview,Equatorial Guinea,2016-01-29 03:54:19,Female,1
15578738,34.66,32,48247,194.83,Customer-focused multi-tasking Internet solution,Curtisport,Mongolia,2016-07-14 12:07:10,Female,1
15762228,66.18,55,28272,143.42,Vision-oriented contextually-based extranet,Frankbury,Svalbard & Jan Mayen Islands,2016-01-10 23:14:30,Female,1
15614827,86.06,31,53767,219.72,Extended local methodology,Timothytown,Timor-Leste,2016-04-28 18:34:56,Female,0
15789815,59.59,42,43662,104.78,Re-engineered demand-driven capacity,Samanthaland,Brazil,2016-07-06 18:36:01,Male,1
15579781,86.69,34,62239,198.56,Customer-focused attitude-oriented instruction set,South Jennifer,Chad,2016-05-27 06:19:27,Female,0
15587013,43.77,52,49030,138.55,Synergized hybrid time-frame,Kyleborough,Portugal,2016-01-25 07:39:41,Male,1
15570932,71.84,47,76003,199.79,Advanced exuding conglomeration,North Randy,Malawi,2016-05-08 22:47:18,Male,0
15794661,80.23,31,68095,196.23,Secured clear-thinking middleware,South Daniellefort,Qatar,2016-03-19 14:23:45,Female,0
15581654,74.41,26,64396,163.05,Right-sized value-added initiative,Dianashire,Singapore,2016-07-23 04:37:05,Female,0
15644296,63.36,48,70053,137.43,Centralized tertiary pricing structure,East Eric,Guinea,2016-06-23 01:22:43,Female,1
15614420,71.74,35,72424,227.56,Multi-channeled reciprocal artificial intelligence,Hammondport,Kazakhstan,2016-07-19 18:06:22,Female,0
15609653,60.72,44,42996,105.69,Synergized context-sensitive database,Jacobstad,Kuwait,2016-02-28 18:52:44,Female,1
15594577,72.04,22,60310,199.43,Realigned systematic function,Hernandezfort,Rwanda,2016-02-10 06:52:07,Male,0
15584114,44.57,31,38350,133.17,Adaptive context-sensitive application,Joneston,China,2016-03-27 09:11:10,Male,1
15673367,85.86,34,63115,208.23,Networked high-level structure,New Jeffreychester,Bouvet Island (Bouvetoya),2016-05-23 02:15:04,Female,0
15685576,39.85,38,31343,145.96,Profit-focused dedicated utilization,East Stephen,Vietnam,2016-01-03 03:22:15,Male,1
15774727,84.53,27,40763,168.34,Stand-alone tangible moderator,Turnerchester,Guatemala,2016-01-04 21:48:38,Female,1
15694288,62.95,60,36752,157.04,Polarized tangible collaboration,Youngfort,Peru,2016-05-24 13:30:38,Female,1
15603319,67.58,41,65045,255.61,Focused high-level conglomeration,Ingramberg,Mayotte,2016-02-01 19:42:40,Male,0
15759066,85.56,29,53673,210.46,Advanced modular Local Area Network,South Denisefurt,Samoa,2016-06-05 13:16:24,Female,0
15814816,46.88,54,43445,136.64,Virtual scalable secured line,Port Melissaberg,Singapore,2016-02-04 08:53:37,Male,1
15724402,46.31,57,44249,153.98,Front-line fault-tolerant intranet,Bernardton,Jamaica,2016-03-24 13:37:53,Female,1
15571059,77.95,31,62573,233.65,Inverse asymmetric instruction set,Port Mathew,Bahamas,2016-06-02 21:02:22,Female,0
15674206,84.73,30,39841,153.76,Synchronized leadingedge help-desk,Aliciatown,Canada,2016-02-21 07:42:48,Male,1
15715160,39.86,36,32594,145.85,Total 5thgeneration standardization,Josephstad,Algeria,2016-06-26 17:16:26,Male,1
15730448,50.08,30,41630,123.91,Sharable grid-enabled matrix,West Ericfurt,Fiji,2016-01-03 05:34:33,Male,1
15662067,60.23,35,43314,106.86,Balanced asynchronous hierarchy,New Brendafurt,Kenya,2016-03-08 18:00:43,Female,1
15779581,60.7,49,42993,110.57,Monitored object-oriented Graphic Interface,Port Julie,Argentina,2016-06-19 03:19:44,Male,1
15662901,43.67,53,46004,143.79,Cloned analyzing artificial intelligence,South Tiffanyton,Bouvet Island (Bouvetoya),2016-07-21 21:16:35,Male,1
15689751,77.2,33,49325,254.05,Persistent homogeneous framework,North Elizabeth,Philippines,2016-02-12 20:36:40,Male,0
15667742,71.86,32,51633,116.53,Face-to-face even-keeled website,Kentmouth,Senegal,2016-05-17 06:14:20,Male,1
15738448,44.78,45,63363,137.24,Extended context-sensitive monitoring,West Casey,Suriname,2016-07-09 11:04:54,Female,1
15680243,78.57,36,64046,239.32,Exclusive client-driven model,East Henry,Liberia,2016-03-27 02:35:29,Female,0
15745083,73.41,31,73049,201.26,Profound executive flexibility,Hollyfurt,Guam,2016-01-16 08:01:40,Male,0
15708228,77.05,27,66625,191.14,Reduced bi-directional strategy,North Anna,United Arab Emirates,2016-01-21 23:48:29,Male,0
15628523,66.4,40,77568,214.42,Digitized heuristic solution,Port Destiny,Antigua and Barbuda,2016-06-05 00:29:13,Male,0
15708196,69.35,29,53431,252.77,Seamless 4thgeneration contingency,Ianmouth,Argentina,2016-02-13 15:37:36,Male,0
15735549,35.65,40,31266,172.58,Seamless intangible secured line,North Johntown,Georgia,2016-05-10 07:22:37,Female,1
15809347,70.04,31,74781,183.85,Intuitive radical forecast,Hannahside,Jordan,2016-03-27 03:59:26,Female,0
15660866,69.78,29,70410,218.79,Multi-layered non-volatile Graphical User Interface,Wilsonburgh,Saudi Arabia,2016-05-24 18:35:58,Female,0
15766609,58.22,29,37345,120.9,User-friendly client-server instruction set,North Russellborough,South Africa,2016-02-11 02:40:02,Female,1
15654230,76.9,28,66108,212.67,Synchronized multimedia model,Murphymouth,Croatia,2016-04-22 08:31:24,Female,0
15794566,84.08,30,62336,187.36,Face-to-face intermediate approach,Carterburgh,Fiji,2016-01-13 02:58:27,Female,0
15800890,59.51,58,39133,140.83,Assimilated fault-tolerant hub,Penatown,Australia,2016-06-16 02:01:24,Female,1
15697424,40.15,38,38745,134.88,Exclusive disintermediate task-force,Joechester,Sao Tome and Principe,2016-06-27 18:37:04,Female,1
15724536,76.81,28,65172,217.85,Managed zero tolerance concept,East Paul,Fiji,2016-07-03 12:57:03,Female,0
15735878,41.89,38,68520,163.38,Compatible systemic function,Hartmanchester,Cyprus,2016-02-03 04:21:14,Male,1
15707596,76.87,27,54775,235.35,Configurable fault-tolerant monitoring,Mcdonaldfort,Kyrgyz Republic,2016-05-29 21:17:10,Female,0
15657163,67.28,43,76247,155.8,Future-proofed coherent hardware,North Mercedes,Pakistan,2016-04-03 21:13:46,Male,1
15622478,81.98,40,65462,229.22,Ameliorated upward-trending definition,Taylorberg,Seychelles,2016-04-15 11:51:14,Male,0
15779529,66.01,23,34127,151.95,Front-line tangible alliance,Hansenmouth,Samoa,2016-06-21 03:14:41,Female,1
15636023,61.57,53,35254,125.94,Progressive 24hour forecast,Bradyfurt,Bulgaria,2016-03-14 14:13:05,Male,1
15582066,53.3,34,44894,111.94,Self-enabling optimal initiative,West Jessicahaven,Mauritania,2016-05-06 21:07:31,Male,1
15666675,34.87,40,59621,200.23,Configurable logistical Graphical User Interface,Davilachester,Czech Republic,2016-06-12 17:52:43,Female,1
15732987,43.6,38,20857,170.49,Virtual bandwidth-monitored initiative,North Ricardotown,Chile,2016-01-11 07:36:22,Male,1
15789432,77.88,37,55353,254.57,Multi-tiered human-resource structure,Melissafurt,Poland,2016-07-02 00:24:22,Female,0
15663161,75.83,27,67516,200.59,Managed upward-trending instruction set,East Brianberg,Estonia,2016-03-04 10:13:48,Male,0
15694879,49.95,39,68738,136.59,Cloned object-oriented benchmark,Millerbury,Turkmenistan,2016-03-24 09:12:52,Male,1
15593715,60.94,41,76894,154.97,Fundamental fault-tolerant neural-net,Garciaview,Latvia,2016-02-14 07:30:24,Male,1
15575002,89.15,42,59887,171.07,Phased zero administration success,Townsendfurt,Fiji,2016-04-25 07:30:21,Female,0
