subscriber_id,signup_month,visits_per_month,renewed
BM0270,Nov,9.5,0
BM0271,Oct,24.5,1
BM0272,Oct,24.5,1
BM0273,Sep,26.1,1
BM0274,Sep,27.5,1
BM0275,Oct,15.8,1
BM0276,Nov,15.5,0
BM0277,Nov,24.2,1
BM0278,Nov,19.8,1
BM0279,Nov,21.4,1
BM0280,Sep,24.1,1
BM0281,Oct,26.8,1
BM0282,Nov,10.8,0
BM0283,Sep,11.9,1
BM0284,Nov,3.7,0
BM0285,Oct,17.8,0
BM0286,Sep,2.0,0
BM0287,Oct,14.5,1
BM0288,Oct,16.7,1
BM0289,Sep,9.3,1
BM0290,Sep,18.1,1
BM0291,Sep,1.9,0
BM0292,Sep,2.1,0
BM0293,Sep,24.9,1
BM0294,Sep,11.4,1
BM0295,Sep,4.7,0
BM0296,Nov,16.1,1
BM0297,Oct,23.3,1
BM0298,Sep,7.3,0
BM0299,Nov,19.1,1
BM0300,Nov,3.5,0
BM0301,Nov,2.5,0
BM0302,Oct,16.4,1
BM0303,Sep,16.7,1
BM0304,Nov,19.5,1
BM0305,Oct,22.1,1
BM0306,Oct,29.3,1
BM0307,Oct,16.0,1
BM0308,Nov,10.4,1
BM0309,Sep,24.1,1
BM0310,Nov,8.9,0
BM0311,Nov,13.7,0
BM0312,Sep,3.3,0
BM0313,Sep,1.7,0
BM0314,Sep,28.9,1
BM0315,Oct,25.2,1
BM0316,Sep,21.2,1
BM0317,Nov,12.9,0
BM0318,Sep,6.0,1
BM0319,Nov,5.5,0
BM0320,Oct,8.3,0
BM0321,Nov,16.9,0
BM0322,Nov,21.7,1
BM0323,Sep,20.1,1
BM0324,Sep,9.1,1
BM0325,Nov,28.7,1
BM0326,Sep,22.4,1
BM0327,Oct,17.1,1
BM0328,Oct,18.7,1
BM0329,Sep,13.2,1
BM0330,Oct,8.2,0
BM0331,Sep,11.3,0
BM0332,Nov,23.0,1
BM0333,Nov,1.4,0
BM0334,Oct,4.4,0
BM0335,Sep,2.3,0
BM0336,Sep,2.2,0
BM0337,Oct,25.8,1
BM0338,Nov,21.4,1
BM0339,Oct,14.8,1
BM0340,Nov,3.8,0
BM0341,Sep,15.3,1
BM0342,Nov,14.7,1
BM0343,Oct,6.0,0
BM0344,Sep,13.6,1
BM0345,Oct,12.6,1
BM0346,Oct,18.9,1
BM0347,Nov,19.4,1
BM0348,Oct,2.3,0
BM0349,Nov,11.9,0
BM0350,Sep,19.1,1
BM0351,Nov,15.6,1
BM0352,Sep,25.8,1
BM0353,Nov,20.1,1
BM0354,Oct,5.7,0
BM0355,Nov,3.0,0
BM0356,Nov,19.6,1
BM0357,Sep,1.8,0
BM0358,Oct,18.0,1
BM0359,Nov,28.3,1
BM0360,Oct,17.7,1
BM0361,Nov,12.3,1
BM0362,Nov,19.7,1
BM0363,Oct,14.3,1
BM0364,Nov,16.8,1
BM0365,Oct,28.3,1
BM0366,Nov,12.2,0
BM0367,Sep,28.9,1
BM0368,Oct,27.3,1
BM0369,Nov,6.7,0
BM0370,Nov,3.0,0
BM0371,Sep,3.9,0
BM0372,Oct,1.5,0
BM0373,Nov,3.7,0
BM0374,Sep,20.8,1
BM0375,Nov,3.1,0
BM0376,Oct,10.3,0
BM0377,Nov,25.5,1
BM0378,Nov,1.7,0
BM0379,Nov,24.6,1
BM0380,Nov,9.2,0
BM0381,Sep,4.4,0
BM0382,Sep,21.2,1
BM0383,Oct,19.2,1
BM0384,Sep,26.4,1
BM0385,Sep,22.3,1
BM0386,Oct,24.3,1
BM0387,Sep,9.2,0
BM0388,Sep,6.1,0
BM0389,Oct,22.8,1
BM0390,Oct,24.4,1
BM0391,Oct,29.7,1
BM0392,Nov,13.0,1
BM0393,Nov,11.8,1
BM0394,Oct,23.5,1
BM0395,Oct,10.9,0
BM0396,Oct,28.0,1
BM0397,Nov,25.9,1
BM0398,Nov,13.4,1
BM0399,Sep,22.8,1
BM0400,Sep,22.9,1
