subscriber_id,visits_per_month,visits_per_week,total_visits_quarter,visit_trend_3mo,days_since_last_visit,app_opens_per_month,avg_extra_spend,tenure_months,loyalty_points,visited_cancel_page,distance_from_campus_km,signup_day_of_week,birthday_month,has_profile_photo,phone_os_ios,newsletter_opt_in,referral_count,avg_visit_hour,preferred_cup_size,app_crashes_logged,num_payment_methods,profile_completeness_pct,survey_responses_sent,campus_zone_code,renewed
BM2060,22,5.08,68,-1.8,0,34,8.05,3,259,0,3.43,4,2,0,0,1,0,13.6,2,0,3,46,3,1,1
BM2096,20,4.57,56,-1.78,1,40,3.75,1,169,0,2.92,2,8,1,1,0,1,17.3,1,0,2,83,0,2,1
BM2039,10,2.35,33,3.03,21,13,2.75,5,54,0,1.73,3,5,0,1,0,1,8.1,1,1,2,72,0,4,1
BM2492,6,1.56,16,-2.36,6,14,8.76,9,83,1,0.79,2,10,1,1,0,0,7.1,3,0,3,32,5,1,0
BM2643,5,1.09,18,-1.58,10,9,2.35,9,0,0,1.63,1,10,1,1,1,1,12.4,1,0,2,67,3,1,1
BM2188,2,0.33,4,-1.74,2,4,3.72,3,24,0,0.6,1,6,0,0,0,1,11.9,2,0,1,17,2,3,1
BM2169,4,0.85,14,-2.52,15,12,6.64,1,40,1,2.75,4,11,1,1,1,1,11.9,2,0,1,61,1,5,0
BM2736,21,4.78,63,-4.0,5,39,7.54,6,214,0,0.98,0,11,1,1,0,1,11.4,1,2,3,78,1,4,1
BM2066,18,4.27,53,2.66,5,35,5.8,2,146,0,0.92,5,1,0,1,0,0,14.7,2,0,2,40,2,3,1
BM2394,21,4.66,62,0.77,0,35,5.41,2,144,0,4.19,4,7,1,0,1,1,9.4,1,0,3,66,0,2,1
BM2121,14,3.1,41,-3.97,17,29,7.17,1,107,1,7.53,0,9,0,0,1,0,9.9,1,1,2,96,2,1,0
BM2402,11,2.56,29,0.84,14,18,3.62,2,161,0,0.98,4,8,0,0,1,1,12.7,3,0,1,75,0,1,1
BM2232,8,1.98,23,-1.92,3,9,3.7,1,106,0,1.4,3,9,1,1,0,0,15.4,3,0,2,84,1,1,1
BM2766,14,3.28,41,-1.03,4,29,4.46,5,126,0,4.36,0,11,0,0,0,1,16.1,3,1,1,88,0,2,1
BM2724,16,3.86,48,2.7,1,31,5.06,2,124,0,3.7,5,9,1,0,0,1,9.0,2,0,1,46,3,5,1
BM2247,7,1.44,20,-2.81,18,20,6.05,7,208,0,1.96,5,5,1,1,1,1,15.7,1,0,1,74,1,3,1
BM2397,8,1.92,19,-0.97,17,19,4.14,8,73,0,3.68,5,6,0,1,1,0,11.8,3,1,3,98,3,1,1
BM2411,12,2.96,38,-0.91,13,24,8.56,3,92,0,0.92,6,5,1,0,1,0,12.7,1,1,1,50,2,1,1
BM2586,5,1.0,13,3.37,24,12,9.18,8,9,1,1.06,3,7,1,0,1,1,11.7,1,1,1,74,1,3,0
BM2271,10,2.28,26,-1.42,0,21,1.98,3,100,0,5.78,4,10,0,1,0,2,12.0,2,0,2,78,0,5,1
BM2645,18,4.11,53,-0.97,5,36,5.57,3,120,0,7.69,5,8,1,1,0,0,10.1,1,4,1,89,3,3,1
BM2239,17,3.96,54,1.05,10,43,3.26,5,109,0,2.73,4,12,1,1,0,1,11.1,2,0,1,54,1,2,1
BM2334,23,5.46,67,-1.02,3,35,6.5,3,155,0,0.62,3,11,0,0,1,0,10.5,1,0,3,53,3,2,1
BM2259,6,1.31,15,-1.09,0,14,7.59,4,70,1,5.04,0,11,0,1,1,1,15.8,1,0,1,100,0,4,0
BM2544,27,6.38,80,0.54,2,51,4.56,3,239,0,2.09,0,2,1,1,0,0,14.4,3,0,1,83,3,2,1
BM2565,6,1.31,16,-0.29,10,20,6.76,8,57,1,2.83,4,3,1,1,1,2,12.8,3,1,1,54,1,4,0
BM2289,3,0.69,10,-2.25,17,6,2.42,4,24,1,0.77,0,12,0,0,0,0,13.6,1,0,1,78,5,1,0
BM2299,3,0.73,8,1.67,12,10,5.34,7,5,1,1.88,1,1,0,0,0,0,13.1,1,1,3,75,0,2,0
BM2278,12,3.03,35,-0.94,0,15,2.51,4,59,1,2.89,4,8,1,1,0,2,12.0,3,2,3,40,2,3,0
BM2143,6,1.4,16,0.42,11,26,13.59,9,25,0,1.37,2,4,1,1,1,2,13.9,1,0,2,86,4,1,1
BM2749,8,1.92,24,-1.51,12,12,5.41,3,172,0,0.86,0,6,0,0,0,1,16.7,1,2,2,60,2,1,1
BM2361,9,2.04,25,-2.89,3,17,3.53,2,154,1,5.07,0,10,1,1,0,0,8.0,2,0,1,74,0,1,0
BM2674,15,3.54,47,-2.5,1,24,5.92,1,95,0,4.38,0,6,0,1,0,0,11.8,1,0,1,87,5,5,1
BM2331,7,1.6,25,0.53,11,6,4.66,4,120,0,2.74,1,2,0,1,0,0,13.3,3,0,3,61,2,4,1
BM2433,17,3.9,55,-0.09,3,39,7.11,12,223,1,0.03,2,12,1,1,0,0,7.4,2,2,3,44,1,3,0
BM2508,10,2.11,31,2.75,4,11,6.34,4,74,0,2.3,0,5,0,0,1,0,9.9,1,1,2,67,2,5,1
BM2217,4,0.91,12,-2.61,35,11,13.84,4,74,1,2.77,5,4,1,1,1,0,12.9,2,0,3,94,0,1,0
BM2011,17,3.9,52,-0.85,5,28,3.89,8,139,0,3.95,3,6,1,0,1,0,17.1,2,1,1,55,2,5,1
BM2593,10,2.26,29,0.33,6,18,13.02,4,48,0,2.98,5,8,1,0,1,0,11.1,2,2,1,58,2,5,1
BM2799,17,3.92,51,-0.98,1,27,4.92,1,165,0,5.28,4,9,1,1,0,0,14.1,2,1,3,36,0,4,1
BM2517,6,1.22,18,-2.44,2,2,4.18,1,90,1,3.84,3,5,1,0,1,0,11.3,1,0,2,66,0,1,0
BM2726,13,2.93,40,1.77,7,23,11.38,4,64,0,3.11,4,1,0,1,0,0,14.1,3,0,1,66,2,3,1
BM2769,5,1.48,14,0.15,5,6,1.58,4,38,1,2.39,2,6,0,1,0,1,14.0,1,2,2,67,2,2,0
BM2538,21,5.03,61,5.15,3,38,3.37,10,206,0,2.83,2,2,1,1,0,0,13.2,2,0,2,54,2,1,1
BM2148,9,2.11,28,-0.67,24,12,9.36,8,61,0,3.7,3,10,0,1,0,0,12.4,1,1,3,69,1,1,1
BM2257,6,1.36,20,0.79,4,8,2.61,1,66,0,6.17,0,12,0,1,1,0,12.5,1,2,3,33,3,3,1
BM2617,12,3.0,35,-2.83,10,24,6.93,1,94,1,8.06,5,8,1,0,1,1,12.6,2,0,2,97,2,5,0
BM2413,19,4.23,61,2.55,5,40,6.62,3,137,0,0.53,2,11,1,0,1,0,11.5,2,1,3,95,3,4,1
BM2164,9,2.11,26,0.2,13,24,3.64,3,29,1,2.87,6,3,1,0,0,0,15.1,3,0,2,97,3,1,0
BM2022,7,1.7,21,4.51,17,19,2.26,2,70,0,2.03,1,2,1,1,1,0,11.2,3,2,3,93,3,1,1
BM2525,10,2.41,29,-2.42,8,15,6.17,6,113,1,4.91,3,4,1,0,0,2,19.3,1,0,1,62,1,2,0
BM2612,16,3.63,43,-0.59,2,31,13.74,5,96,0,4.06,3,7,1,0,1,1,11.9,3,1,1,68,4,1,1
BM2107,10,2.38,32,-1.83,10,21,3.67,4,51,0,3.76,0,11,0,0,0,0,16.0,1,0,1,73,2,1,1
BM2531,11,2.63,35,-3.12,18,16,7.03,2,158,0,1.35,5,12,0,0,1,0,18.3,2,2,2,61,1,5,1
BM2796,29,6.69,81,-0.48,2,49,6.83,6,211,0,1.84,5,2,1,0,1,0,17.6,2,0,2,76,2,2,1
BM2006,14,3.24,40,1.95,11,28,3.72,4,122,0,4.29,3,11,1,0,0,1,12.3,3,0,1,85,4,5,1
BM2214,8,1.82,23,-0.39,36,18,4.93,1,12,0,0.98,5,10,0,0,0,1,12.6,3,1,1,86,2,1,1
BM2463,13,3.07,41,-1.75,24,30,2.98,3,53,0,1.2,6,3,1,1,0,0,7.7,2,1,1,89,1,2,1
BM2240,12,2.67,39,-1.63,8,34,9.13,2,75,0,0.71,1,1,0,1,0,0,11.4,2,0,3,71,2,2,1
BM2656,17,3.77,54,-1.89,8,31,5.96,3,152,0,1.25,1,9,1,1,1,0,12.6,3,1,1,78,2,3,1
BM2300,6,1.35,17,-3.18,9,20,14.45,3,68,1,5.7,6,6,0,1,0,0,14.5,3,1,3,74,1,5,0
BM2187,14,3.3,42,-1.44,5,27,4.35,2,158,0,0.69,0,6,0,1,0,0,12.9,2,1,3,72,0,4,1
BM2738,15,3.44,41,0.02,11,32,6.87,2,185,0,3.67,4,3,1,1,0,2,12.2,1,0,3,81,2,4,1
BM2274,6,1.37,16,0.76,17,20,3.79,4,151,0,3.67,4,11,1,0,1,0,13.1,3,1,3,54,3,3,1
BM2069,4,1.22,12,-2.22,36,19,3.79,6,1,1,4.25,2,7,1,1,1,0,6.4,1,0,1,96,1,2,0
BM2567,14,3.31,40,0.51,5,22,3.13,2,36,0,1.69,4,12,1,0,0,1,13.0,2,0,1,43,2,4,1
BM2002,17,3.74,52,-3.87,8,42,10.53,4,194,0,0.65,4,4,0,0,0,0,14.5,1,2,2,56,0,4,1
BM2553,14,3.35,43,-2.33,7,34,2.86,2,109,0,0.65,2,6,0,1,1,0,9.6,1,0,1,73,4,2,1
BM2589,23,5.37,69,4.17,2,36,12.86,5,123,0,1.21,3,4,0,0,0,1,13.1,1,1,1,65,1,2,1
BM2128,22,5.23,67,2.31,11,36,8.55,1,207,0,0.58,2,2,0,1,0,1,13.7,2,0,1,95,5,2,1
BM2764,13,2.87,39,-1.76,6,14,5.8,5,115,0,0.88,0,4,1,0,0,0,6.6,3,0,3,56,3,2,1
BM2725,11,2.38,34,0.02,13,34,7.01,5,85,0,2.22,6,4,1,0,1,0,10.6,2,1,2,91,3,1,1
BM2425,6,1.39,19,0.46,43,11,9.05,6,108,0,2.93,4,1,0,1,0,0,13.6,3,2,2,81,3,5,1
BM2475,12,3.01,38,-1.17,13,19,15.52,5,70,1,9.85,5,3,1,1,1,0,12.4,3,2,1,53,4,3,0
BM2033,18,4.17,57,1.91,5,31,3.66,3,152,0,5.06,4,5,0,1,1,0,13.3,1,0,1,67,0,5,1
BM2532,17,3.84,49,-3.0,4,40,6.19,2,115,0,2.67,2,5,1,1,1,0,15.9,3,2,3,64,3,2,1
BM2344,7,1.47,20,-2.42,3,10,6.38,5,106,0,3.3,4,12,0,0,0,0,15.8,2,1,2,93,2,2,1
BM2082,12,2.71,40,0.97,4,18,3.53,3,135,0,2.16,5,2,1,1,0,2,11.4,2,1,1,80,1,1,1
BM2774,9,2.13,30,-0.66,14,20,2.49,4,81,0,4.13,4,1,1,0,0,0,14.6,1,0,2,93,0,3,0
BM2399,15,3.43,45,-0.15,1,25,6.25,1,146,0,1.14,4,3,1,1,0,0,7.7,1,0,3,58,0,3,1
BM2153,21,5.19,66,0.47,8,31,16.94,2,235,0,2.77,5,3,0,1,1,0,17.5,1,0,3,62,2,3,1
BM2483,18,4.16,52,-2.74,4,27,5.28,4,144,0,5.12,1,3,1,1,1,0,10.1,3,0,3,90,1,4,1
BM2349,18,4.28,55,0.76,2,33,7.31,3,188,0,2.53,4,2,1,1,1,0,14.7,3,1,2,80,3,5,1
BM2120,9,2.46,28,0.45,11,22,4.27,1,6,0,3.57,1,4,1,0,0,0,11.2,2,1,1,75,2,4,1
BM2689,10,2.38,32,-0.53,17,19,2.8,3,58,1,0.44,6,1,1,0,1,0,15.9,1,1,1,73,3,3,0
BM2739,30,6.83,91,-2.51,15,45,9.06,6,237,0,2.29,1,3,1,1,1,0,12.3,1,0,3,53,0,2,1
BM2070,10,2.3,33,-0.09,35,27,6.85,6,103,0,3.46,4,9,1,1,0,0,12.8,2,2,1,65,3,1,1
BM2708,13,3.04,39,-1.26,2,29,6.88,1,152,0,2.47,2,7,1,1,1,1,10.4,3,1,2,69,4,4,1
BM2088,16,3.62,54,-1.87,7,33,4.06,2,153,0,3.21,0,7,1,1,0,0,13.1,1,0,2,75,0,4,1
BM2424,6,1.44,19,-2.97,8,8,4.26,2,57,0,2.3,6,1,1,0,1,1,6.7,3,0,2,100,1,4,1
BM2721,15,3.54,45,-0.84,13,31,11.83,1,105,0,3.87,2,7,1,0,1,0,10.6,2,0,2,44,2,3,1
BM2329,15,3.66,47,-1.1,2,9,6.0,1,101,0,3.06,6,11,0,1,0,0,15.4,3,1,1,60,4,3,1
BM2346,13,3.02,42,0.0,1,33,8.92,5,90,0,2.93,5,7,1,1,1,1,7.6,2,0,2,51,5,1,1
BM2627,15,3.5,44,2.32,5,28,6.24,3,137,0,1.52,1,10,1,1,0,0,13.6,3,0,2,61,2,2,1
BM2679,5,1.12,16,-0.62,14,2,6.62,7,5,1,1.13,3,4,1,0,0,0,11.4,3,0,1,69,1,3,0
BM2057,23,5.43,68,1.16,1,39,7.44,3,183,0,8.86,4,4,1,1,1,1,12.5,3,0,1,60,3,2,1
BM2117,16,3.55,48,5.42,3,33,8.87,5,79,0,4.76,3,3,0,1,0,0,12.9,1,1,1,76,0,3,1
BM2093,11,2.55,37,4.53,3,25,11.03,9,162,0,2.77,1,9,1,1,1,0,12.8,3,2,3,86,2,4,1
BM2447,5,1.21,14,0.33,1,14,2.78,2,36,0,3.22,1,3,1,1,1,2,13.5,3,0,3,60,0,3,1
BM2074,10,2.26,28,-0.7,8,16,3.3,3,0,0,1.78,5,6,1,1,1,1,8.3,3,1,3,74,1,3,1
BM2568,29,6.75,87,-2.25,1,58,17.66,1,231,0,0.55,3,11,0,1,1,0,16.8,1,1,1,73,1,2,1
BM2191,23,5.35,70,0.67,2,46,10.44,4,103,0,2.07,4,9,0,0,1,2,11.9,1,0,2,86,0,5,1
BM2201,12,2.8,36,0.95,5,26,5.21,13,123,0,3.47,6,4,1,0,1,0,10.9,1,0,3,93,1,1,1
BM2423,11,2.47,36,-0.62,9,21,6.41,4,95,0,8.04,5,6,1,0,0,1,12.4,3,1,2,72,1,2,1
BM2477,13,3.08,41,0.83,24,20,5.47,3,118,0,1.03,5,8,1,0,0,2,14.9,2,1,3,100,1,4,1
BM2658,5,1.03,17,-1.05,2,13,1.6,4,96,1,0.03,6,6,0,0,1,1,16.2,3,0,2,52,1,1,0
BM2255,9,1.86,27,3.01,7,14,4.46,4,104,0,0.49,3,2,1,0,0,1,12.6,1,1,2,53,2,2,1
BM2454,7,1.56,18,-2.6,3,6,5.34,2,40,1,8.22,5,2,1,0,1,0,14.7,3,1,3,68,2,2,0
BM2456,2,0.48,5,0.68,11,6,2.07,3,7,0,1.19,1,10,0,1,1,0,17.1,1,1,2,53,1,5,1
BM2150,8,1.71,23,-2.62,3,17,7.76,3,30,0,2.16,5,6,1,1,0,0,13.9,2,0,2,69,2,5,1
BM2474,25,5.59,79,0.27,2,45,5.64,2,233,0,3.11,3,8,0,1,0,0,15.7,1,0,1,86,1,4,1
BM2210,11,2.41,32,-3.24,5,26,3.2,2,87,0,6.87,2,11,1,1,0,0,14.3,1,0,3,64,1,2,1
BM2180,3,0.64,9,-1.34,10,11,2.66,6,38,0,0.48,3,10,1,1,1,0,13.2,2,0,2,59,5,2,1
BM2691,9,2.01,27,0.7,14,10,4.31,6,28,1,2.61,0,9,0,0,1,0,14.6,1,1,1,66,2,5,0
BM2634,7,1.75,21,1.78,3,16,3.16,9,93,0,0.73,1,3,1,1,0,1,12.2,1,2,3,54,1,3,0
BM2772,14,3.25,43,-4.03,5,29,5.57,6,137,0,3.56,0,8,1,1,1,0,14.2,3,1,3,57,1,3,1
BM2566,8,1.74,22,2.97,3,21,5.16,2,0,0,5.59,1,6,1,0,0,0,12.4,1,0,1,68,0,3,1
BM2548,22,5.01,66,-2.04,18,41,9.28,2,175,0,2.19,4,5,1,0,0,0,11.6,2,1,3,60,1,1,1
BM2485,13,3.02,39,-1.6,1,29,5.04,7,111,0,1.18,3,6,1,1,0,1,11.5,1,0,1,69,1,5,1
BM2622,10,2.16,32,-0.14,36,20,4.67,1,20,1,3.44,3,1,1,0,0,0,15.7,2,1,3,86,1,5,0
BM2297,7,1.64,19,0.18,4,11,3.79,3,65,0,3.92,0,2,1,0,0,0,13.7,3,1,3,54,2,5,1
BM2600,14,3.41,43,-1.9,12,26,8.64,5,68,0,0.59,0,9,0,1,1,0,12.2,2,1,2,53,0,1,1
BM2743,26,6.02,78,2.44,5,47,7.84,2,191,0,0.95,3,9,0,0,1,1,15.6,1,0,1,66,7,3,1
BM2497,8,1.77,25,2.81,1,23,5.68,1,52,0,3.79,2,5,1,0,1,1,13.3,1,0,3,73,0,3,1
BM2351,9,1.96,28,-2.72,0,12,6.71,4,70,1,0.66,3,8,1,0,0,1,10.1,2,1,3,97,0,1,0
BM2021,20,4.77,60,3.87,0,31,5.77,2,213,0,1.88,1,7,1,1,0,1,16.8,1,2,1,63,1,4,1
BM2729,30,6.93,89,2.01,5,47,8.32,2,206,0,1.92,4,12,1,0,0,0,15.0,1,0,2,100,2,1,1
